Date,DiffL95S15,DiffL8S4,RoCL8,RoCS4,MA5DiffL95S15,MA5DiffL8S4,StdDevL95,StdDevS15,LaggedL95EMA,LaggedS15EMA,ProfitLoss,CurrentPrice,StochRSI,SmoothKRSI,MACDLine,MACDSigLine,MACDHist,OBV,ATR,Label
17 17:59:20,7.016373,1.200291,0.066232,0.087359,13.210458,1.182558,2.327944,7.244449,42406.96334,42400.93562,0,42371.1,0.157584,0.331747,3.902174,4.0167,-0.114525,-82,26.86,0
17 18:09:29,-0.48651,-1.583361,0.018817,0.018124,8.17379,-3.136432,0.758245,5.267125,42406.60155,42407.82141,0,42379.2,0.157105,0.338485,5.935495,4.568716,1.366779,111,23.87,0
17 17:35:58,2.073741,-1.462134,0.102421,0.084883,39.792337,-11.164552,1.440229,26.894852,42414.602,42412.88321,0,42381.1,0.09426,0.245644,22.422323,21.786267,0.636056,-67,24.184286,0
17 17:24:48,44.512139,-6.686648,0.187152,0.192718,93.530925,-4.679612,9.504987,22.186598,42412.89366,42364.90513,0,42383.74,0.198704,0.405777,16.444975,9.274177,7.170798,103,28.865,0
17 18:00:21,8.1708,3.251831,0.056717,0.061776,13.285562,1.103139,2.097212,6.788702,42406.6151,42399.59854,0,42383.99,0.135105,0.289739,2.555924,3.724545,-1.16862,-54,23.645714,0
18 13:31:04,34.082567,1.473829,0.025189,0.032376,41.667972,0.691936,5.843468,5.29346,42438.70871,42404.89995,0,42385.92,0.138216,0.310363,-2.177984,-3.394684,1.2167,-19,18.71,0
17 17:25:48,41.560009,-4.822624,0.183934,0.184699,89.558866,-5.918826,8.410428,23.990791,42412.38925,42367.87709,0,42385.95,0.18512,0.381217,16.316014,10.682544,5.633469,65,28.780714,0
18 13:12:49,40.653802,0.229768,-0.030254,-0.025229,41.478214,2.902689,6.457324,8.133795,42456.55138,42416.26853,0,42386.45,0.179999,0.376949,-5.637074,-6.630835,0.993761,11,26.552857,0
17 17:54:15,9.371279,-6.501068,0.00133,0.030901,12.370143,2.097265,3.122498,9.97263,42407.15547,42396.63325,0,42388.82,0.213043,0.428955,5.089357,2.58126,2.508097,-22,26.251429,0
18 13:28:01,35.759081,-1.608192,0.017945,0.0412,43.003826,0.591445,6.350857,6.619229,42440.85689,42404.44767,0,42396.1,0.204137,0.420221,-2.14062,-4.893047,2.752427,-39,19.195714,0
17 18:25:44,-5.616646,0.183136,0.101108,0.139252,4.629439,-1.787676,1.806016,9.967038,42405.06488,42411.27948,0,42397.75,0.187538,0.389156,6.964557,5.376331,1.588226,59,33.355,0
18 13:33:05,32.020398,-0.075946,0.030607,0.035344,40.858826,0.804331,5.307169,3.644361,42437.22373,42404.47975,0,42400,0.175049,0.350044,-1.393624,-2.696092,1.302468,-6,20.052143,0
17 17:56:17,7.987931,-2.385986,0.027251,0.054137,13.006329,2.257331,2.872729,8.626344,42407.05361,42398.51165,0,42400.41,0.184917,0.380465,4.90341,3.447764,1.455646,-58,26.755,0
18 13:30:03,33.808848,-0.678431,0.025754,0.038488,42.060934,0.535999,6.03785,5.839819,42439.4239,42404.87148,0,42401.45,0.199185,0.405262,-1.523195,-3.69886,2.175664,-7,17.297857,0
17 17:55:16,8.542392,-4.154637,0.015422,0.044447,12.711189,2.303524,3.017882,9.328547,42407.12255,42397.75132,0,42402.09,0.196445,0.402623,5.09422,3.083852,2.010368,-56,26.3,0
17 18:26:45,-4.919093,1.971876,0.099156,0.120479,4.257177,-1.258014,1.768388,10.214303,42405.0998,42410.71731,0,42403.49,0.174438,0.362466,5.843727,5.46981,0.373917,85,28.723571,0
17 18:28:47,-4.782752,1.612975,0.068627,0.055475,3.795867,-0.415476,1.629689,10.512535,42405.25624,42410.34007,0,42404.35,0.142863,0.304282,4.827319,5.34503,-0.517711,79,29.427143,0
18 13:24:58,39.803834,-4.387641,-0.023046,-0.01216,44.312558,1.797955,6.632548,7.454535,42442.79906,42401.18299,0,42407.08,0.228365,0.441915,-4.110355,-7.283958,3.173603,-3,20.570714,0
17 18:18:37,7.253587,-10.864149,-0.022869,-0.017577,8.801125,1.205485,1.946924,7.833182,42402.00263,42391.75121,0,42407.32,0.198525,0.375409,1.433918,-2.130192,3.56411,210,36.259286,0
17 17:51:12,16.335385,-7.694776,-0.041396,-0.006459,12.027038,1.608488,2.989027,10.288844,42406.69589,42387.73559,0,42408.01,0.209883,0.375125,1.172244,0.862134,0.31011,-68,26.557143,0
17 17:57:18,7.181799,-1.877242,0.043759,0.073107,13.172744,1.946412,2.707011,8.041157,42406.94999,42398.96294,0,42408.07,0.184317,0.374249,4.935279,3.745267,1.190012,-76,27.495,0
17 18:24:43,-6.214645,-3.057695,0.090037,0.138829,5.199081,-2.110619,1.817702,9.604421,42404.83612,42410.63166,0,42408.34,0.208687,0.424383,8.126243,4.979274,3.146969,65,37.457857,0
18 13:27:00,36.409082,-3.551403,0.005835,0.028437,43.491266,0.818792,6.453717,6.873454,42441.49808,42403.55244,0,42409.23,0.232024,0.460055,-2.202444,-5.581153,3.378709,-15,17.73,0
17 17:27:50,32.886864,-7.409596,0.171528,0.162536,80.636627,-8.21456,6.412977,26.845988,42411.71708,42374.59885,0,42410.95,0.216355,0.424277,18.322537,13.287139,5.035398,108,27.555714,0
17 17:52:13,13.870746,-8.106253,-0.029441,0.001088,12.061951,1.821709,3.108243,10.379551,42406.74755,42390.41148,0,42412.48,0.229942,0.427534,2.725987,1.234905,1.491082,-61,26.475714,0
17 18:07:27,0.580683,-7.44372,0.020666,0.02842,10.565156,-2.500506,0.766496,5.911893,42405.93241,42403.42491,0,42412.95,0.21238,0.412404,6.432893,3.489762,2.943131,108,23.135,0
17 17:58:19,6.027482,-2.234209,0.066969,0.103163,13.194687,1.478657,2.522911,7.623886,42406.91172,42399.72957,0,42413.66,0.191551,0.382293,5.245589,4.045331,1.200258,-82,25.971429,0
18 13:29:02,34.55242,-1.507996,0.023842,0.042516,42.526594,0.522672,6.209058,6.265682,42440.07656,42404.31761,0,42414.09,0.209851,0.422819,-1.641691,-4.242776,2.601084,-46,18.435714,0
18 13:25:59,37.94557,-4.255291,-0.009203,0.008407,43.981148,1.31622,6.540437,7.101711,42442.1214,42402.31727,0,42414.14,0.234528,0.458566,-2.99332,-6.425831,3.432511,26,19.629286,0
18 13:22:57,43.991379,-2.89493,-0.036609,-0.03366,44.558895,2.795496,6.763632,8.203265,42444.17108,42398.16333,0,42414.17,0.206971,0.375957,-7.016522,-8.777038,1.760516,-12,21.632143,0
18 12:51:31,35.965623,0.794888,0.015233,0.000245,49.715207,-1.983409,5.811377,3.776487,42478.9178,42443.26006,0,42415.99,0.126691,0.297556,0.918485,-0.446027,1.364512,49,16.664286,0
17 18:23:43,-5.795149,-5.97911,0.060584,0.102578,5.947369,-2.091445,1.817198,9.154761,42404.44391,42408.82354,0,42417.78,0.223375,0.44608,8.571144,4.192532,4.378612,84,37.126429,0
17 18:21:40,-2.044502,-9.455418,0.007451,0.026011,7.598811,-0.988689,1.829142,8.29681,42403.4783,42403.25827,0,42418.05,0.223159,0.438086,7.166746,1.80902,5.357726,118,38.045714,0
18 13:23:58,41.616384,-4.575084,-0.033406,-0.029075,44.493909,2.263501,6.711561,7.85518,42443.42416,42399.43278,0,42418.55,0.228485,0.427221,-5.278643,-8.077359,2.798716,-8,21.305714,0
18 13:10:47,41.940212,-1.644921,-0.033674,-0.022359,41.103777,3.300765,6.543832,9.046993,42458.10993,42414.98743,0,42419.99,0.222192,0.413899,-6.336834,-7.308249,0.971415,36,24.267143,0
17 18:27:46,-5.083631,1.307438,0.087922,0.091723,3.974083,-0.820456,1.713464,10.409383,42405.10056,42410.01965,0,42420.03,0.171921,0.351895,5.493049,5.474458,0.018591,69,28.545,0
17 17:28:51,28.482895,-8.309234,0.157547,0.140978,75.828388,-9.118134,5.510534,27.788571,42411.63528,42378.74854,0,42421.1,0.232669,0.452965,19.358317,14.501375,4.856942,93,26.743571,0
17 17:26:49,37.117999,-6.604479,0.1819,0.180733,85.217603,-7.174961,7.386202,25.563552,42411.86736,42370.30687,0,42421.97,0.202879,0.402367,17.411273,12.02829,5.382983,153,28.619286,0
18 13:34:06,30.360155,-1.651299,0.029882,0.032144,40.286218,0.561138,5.012433,3.000386,42436.54985,42404.52946,0,42423.25,0.212525,0.406284,-0.538236,-2.264521,1.726285,36,21.532143,0
17 18:16:35,15.076979,-3.959415,-0.032392,-0.029359,8.58726,2.076439,1.912925,7.899026,42401.2758,42383.24679,0,42423.99,0.152407,0.270517,-4.677612,-3.587395,-1.090217,162,33.515,0
18 13:32:04,32.744178,-0.185266,0.032018,0.041795,41.290658,0.819616,5.585977,4.479204,42437.80837,42403.72616,0,42424,0.177731,0.35267,-1.529807,-3.021709,1.491902,9,19.577143,0
17 17:50:11,18.960934,-5.983036,-0.06189,-0.030999,12.142413,1.443486,2.80881,10.16639,42406.62037,42384.5156,0,42424.01,0.174419,0.29502,-0.658051,0.784607,-1.442658,-70,26.046429,0
